SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET7258,MATHYS_2019_IN5_DE_SUBTYPE_CLUSTERS,0.0729270729270729,0.800952705830755,0.163180127180689,0.220484526868776,1.26702166518132,351,PRR16|CXCL14|RASGRF1|TOX|SHC3|PRKCB|KAZN|RGS7|ENTPD3|HLF|TTC39C|GRK3|MBP|CAP2|MAML3|ADGRL2|WASF3|SV2C|AMMECR1|UBE2E3|HS3ST5|KCNN2|PBX1|BCL11B|ALK|FLRT2|ARID5B|HOMER2|GAD2|MED12L|TTC39B|PTPRT|LUZP2|ETV1|TMEM132D|TMTC2|B3GAT2|OXCT1|PXK|MPPED1|LIN7A|GLCCI1|DOK6|SLC35F4|SRM|SPRED2|TLK1|CDH20|IL1RAP|PLCXD3|LPIN2|RETREG1|ATP13A3|H2AZ2|OSBPL6|FSTL5|MYO16|CASK|TOX3|PDE8B|FAM110B|PID1|HIPK1|KCNH5|PLEKHO1|CLSTN2|TRPC3|IGSF11|RPH3A|ADARB2|CYFIP2|DYNC1I1|GABRB3|WWP1|PMEPA1|PLCL2|GNG4|RAD21|KCTD1|DPH6|ZSWIM6|HAPLN1|SPOCK1|SOX2|CCSAP|NAPEPLD|PHYHIPL|OPHN1|SGCZ|SOX5|SLC8A1|ID2|EXT1|SSH2|CRH|POU6F2|ANKRD6|PRKAR2B
MOSET7315,TRAN_ACC_2020_OPC,0.0729270729270729,0.800952705830755,0.163180127180689,0.35261748566544,1.65894062850833,33,COL9A1|SPRY4|PRRX1|MYT1|LUZP2|STK32A|ATP2C2|LRRN1|NTN1
MOSET7481,TRAN_NAC_2020_OPC,0.0729270729270729,0.800952705830755,0.163180127180689,0.35261748566544,1.65894062850833,33,COL9A1|SPRY4|PRRX1|MYT1|LUZP2|STK32A|ATP2C2|LRRN1|NTN1
MOSET2261,MGI_MP:0003383__ABNORMAL_GLUCONEOGENESIS,0.0739260739260739,0.804079977993021,0.161978948883402,0.543154499391798,1.92144982849526,9,ADIPOR1|PHOX2A|LPIN1
MOSET3551,MGI_MP:0001142__ABNORMAL_VAGINAL_OPENING,0.0739260739260739,0.804079977993021,0.161978948883402,0.68565613191107,2.06597850678387,5,LHCGR|GNRH1|KISS1
MOSET523,GAD_NEOPLASMS_ASTROCYTOMA,0.0739260739260739,0.804079977993021,0.161978948883402,0.686381638299965,2.06816455972825,5,BICRA|NF1|ERCC2|PTEN
MOSET6837,Mukamel_InhibitoryNeurons,0.0739260739260739,0.804079977993021,0.161978948883402,0.28327323379891,1.50379748244599,87,BTBD11|ANK1|ZFP804A|TSPAN2|DLX6|GM13889|GAD2|DLX5|IDH2|PDE5A|CENPA|DLX1|SLC32A1|EFEMP2|RPP25|ERBIN|KLF3|RAB34|EBF4|GM1604B
MOSET6734,ZENG_HUMAN_NEOCORTEX_LAYER_VI_MARKERS,0.0749250749250749,0.812982198524367,0.160801401070022,0.463773194376541,1.8266028525234,14,SYT6|TLE4|SYT10|FOXP2|OPRK1|PCDH17|CDH24|SNTB1
MOSET3948,MGI_MP:0000690__ABSENT_SPLEEN,0.0759240759240759,0.8140145568717,0.159646701919906,0.5405228661235,1.91214022819241,9,PBX1|PKD2|NKX2-3|TCF21|SOX11|KAT6A|WT1
MOSET6975,MANCARCI_SPINY_STR,0.0759240759240759,0.8140145568717,0.159646701919906,0.291424780526094,1.52135646070791,74,KCNQ5|SOWAHA|PPP1R1B|RARB|RGS8|RGS9|GPR88|BCL11B|RBFOX1|MEIS2|FOXP1|DLX5|SLC32A1|RXRG|PDE7B|MYO5B|IDO1|KCNA5|MYH7|CCSAP|CHN1|PPP3CB|ITPR1|RIN1|PTPN5|GABRD|ARPP21|CDH8
