SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET7747,JAKEL_2019_ASTROCYTE2,0.131868131868132,0.937751903269145,0.117249716749792,-0.265695859150439,-1.39983601922839,83,HSPB1|BAALC|AQP4|CKB|CLU|MLC1|ID3|SPARCL1|CAMK2D|ITM2C|CPE|TUBB2B|HSP90AA1|NDRG2|PSAP|CTNND2|NEBL|CD44|AGT|ATP1B2|SERPINE2|GLUL|PRKCA|GJA1|RFX4|CD81|ITPR2|BMPR1B|HSPH1|CST3|NUPR1|APOE
MOSET3213,MGI_MP:0000965__ABNORMAL_SENSORY_NEURON_MORPHOLOGY,0.132867132867133,0.943377436335183,0.116739204791222,-0.481396762437886,-1.71044123736934,9,ISL1|PRPH|NEFH|TLX1|NEFM|ERBB2|SHC2
MOSET1729,MGI_MP:0000168__ABNORMAL_BONE_MARROW_DEVELOPMENT,0.133866133866134,0.94369004855327,0.116234148779716,-0.570213608094653,-1.83529841486731,6,GSTA4|KHDRBS1|PTHLH|CASP3|MZF1
MOSET2324,MGI_MP:0005406__ABNORMAL_HEART_SIZE,0.134865134865135,0.94369004855327,0.115734447701689,-0.604066817002543,-1.80673140688217,5,HBEGF|GNAS
MOSET3375,MGI_MP:0001025__ABNORMAL_SYMPATHETIC_NEURON_MORPHOLOGY,0.135864135864136,0.94369004855327,0.115240003147781,-0.525374857586715,-1.76989896108104,7,GFRA3|RET
MOSET3644,MGI_MP:0004091__ABNORMAL_Z_LINES,0.134865134865135,0.94369004855327,0.115734447701689,-0.513231768343417,-1.77200336796032,8,CACNA1S|CALR|ACTG1|BCAR1|GAA
MOSET394,GAD_MALE_UROGENITAL_DISEASES_KIDNEY_DISEASES,0.134865134865135,0.94369004855327,0.115734447701689,-0.373784855566281,-1.61321981718274,20,SLC22A12|RETN|FGA|NOS3|AGT|ADD1|PDCD1|NOS2|IL6
MOSET41,SUGINO_UP_LAYER6_GLUTAMATERGIC_NEURONS_CINGULATE_CTX,0.134865134865135,0.94369004855327,0.115734447701689,-0.288300461273021,-1.44931995075141,56,ITGA7|DPP4|LOR|MMD2|OLFM1|PLEKHB1|PFKL|MYH3|SEMA4A|ITM2C|DHCR24|LMO1|KCNIP3|GSTT2|GP1BB|SQLE|SLA|RMND5B|TNNT2|KLF13
MOSET4193,MGI_MP:0000126__BRITTLE_TEETH,0.136863136863137,0.94369004855327,0.114750719227023,-0.601417370496964,-1.79880705467849,5,SLC4A4|GJA1
MOSET4802,MGI_MP:0003794__DELAYED_SOMITE_FORMATION,0.136863136863137,0.94369004855327,0.114750719227023,-0.602037658096703,-1.80066230157536,5,DLL3
MOSET4881,MGI_MP:0000539__DISTENDED_URINARY_BLADDER,0.135864135864136,0.94369004855327,0.115240003147781,-0.509323035094938,-1.7585079280675,8,CHRNA3|SGSH|DHCR7|CHRM3|CHRNB2
MOSET4975,MGI_MP:0003068__ENLARGED_KIDNEY,0.136863136863137,0.94369004855327,0.114750719227023,-0.345525542380392,-1.57034303146551,25,FAIM2|SLC37A4|CYS1|NPHS1|PKHD1|BMP4|BCAT2|GCDH|HSD11B2
MOSET5388,MGI_MP:0006060__INCREASED_CEREBRAL_INFARCTION_SIZE,0.135864135864136,0.94369004855327,0.115240003147781,-0.525510608224477,-1.77035628200014,7,GPX1|CST3|FN1|GSN|PSPN|CAMK2A
MOSET5410,MGI_MP:0005553__INCREASED_CIRCULATING_CREATININE_LEVEL,0.134865134865135,0.94369004855327,0.115734447701689,-0.34205806914595,-1.55973468433389,26,EGFR|LARGE1|CYS1|ABCC6|SLC12A1|PTGIS|MPV17|NOS2|ARHGDIA|UOX|FAH
MOSET5968,MGI_MP:0004191__NEURONAL_INTRANUCLEAR_INCLUSIONS,0.134865134865135,0.94369004855327,0.115734447701689,-0.509849004704515,-1.76032391058671,8,SLC6A3|PSAP|ATG5|DYNC1H1
MOSET6559,MGI_MP:0000588__THICK_TAIL,0.136863136863137,0.94369004855327,0.114750719227023,-0.524627167843409,-1.76738012090287,7,PAPSS2|FGF3|ABCC8
MOSET6921,mousebrain.org_MSN6_SC_RNAseq,0.136863136863137,0.94369004855327,0.114750719227023,-0.344974948710432,-1.56784069567049,25,AKAP5|ISL1|ATP6AP1L|SH3RF2|GPR149|TAC1|DCLK3|OTOF|GSX2|GPR88|WNT2|RGS9|CXCL14
MOSET7352,TRAN_AMY_2020_INHIB_E,0.136863136863137,0.94369004855327,0.114750719227023,-0.323986202036139,-1.53932504345318,35,NMU|SPHKAP|FLT3|GRIN3A|PTPRU|RAB3B|FAM43B
MOSET7390,TRAN_DLPFC_2020_INHIB_E,0.136863136863137,0.94369004855327,0.114750719227023,-0.323986202036139,-1.53932504345318,35,NMU|SPHKAP|FLT3|GRIN3A|PTPRU|RAB3B|FAM43B
MOSET8110,HODGE_2018_ASTRO_L1_2_FGFR3_GFAP_SINGLE_VS_L1,0.136863136863137,0.94369004855327,0.114750719227023,-0.600766642707936,-1.79686076281031,5,ID3|SLC16A9|DBI
MOSET8135,HODGE_2018_INH_L1_3_VIP_CCDC184_SINGLE_VS_L2,0.136863136863137,0.94369004855327,0.114750719227023,-0.601738705886041,-1.79976815156917,5,TMEM51|IL17RB|LRRN1|CRYM
MOSET124,PALMER_LYMPHOCYTES,0.137862137862138,0.944834621571782,0.114266502484433,-0.312783078193973,-1.49132380866879,36,COX6C|STAMBPL1|PCP2|RPS21|COX7B|UQCRB|TPI1|NSUN4|RPS6KA2|RPL27|FAM162A
MOSET2505,MGI_MP:0002063__ABNORMAL_LEARNING/MEMORY/CONDITIONING,0.137862137862138,0.944834621571782,0.114266502484433,-0.406410574533759,-1.64764822374077,15,S100B|OPRL1|GNAI1|LIMK1|PDE1B|APP
MOSET3849,MGI_MP:0000932__ABSENT_NOTOCHORD,0.137862137862138,0.944834621571782,0.114266502484433,-0.406715991382278,-1.64888642855013,15,AMN|FOXA2|CSK|FKBP8|GDF1|LEFTY2
MOSET4294,MGI_MP:0005163__CYCLOPIA,0.137862137862138,0.944834621571782,0.114266502484433,-0.477629310787582,-1.69705518003518,9,ACVR2A|PCSK6
MOSET1744,MGI_MP:0004101__ABNORMAL_BRAIN_INTERNEURON_MORPHOLOGY,0.141858141858142,0.947577276524645,0.112378519110475,-0.518215531821635,-1.74578040449107,7,PDYN|SLC12A5
MOSET1753,MGI_MP:0005277__ABNORMAL_BRAINSTEM_MORPHOLOGY,0.140859140859141,0.947577276524645,0.112843355675562,-0.385498536455439,-1.62673931186302,18,GLB1|ASPA|PSAP|SOD2|ATP1B2|HSD11B1|CLCN2|PITPNA|MAN2B1
MOSET1857,MGI_MP:0004140__ABNORMAL_CHIEF_CELL_MORPHOLOGY,0.141858141858142,0.947577276524645,0.112378519110475,-0.473520630522792,-1.68245671011512,9,FOXL1|KCNQ1|ATP4A|HRH2|SLC9A4
MOSET1969,MGI_MP:0002468__ABNORMAL_COMPLEMENT_PHYSIOLOGY,0.141858141858142,0.947577276524645,0.112378519110475,-0.521817528744446,-1.75791492238708,7,CD59A|CD55|PRKDC
MOSET1970,MGI_MP:0002805__ABNORMAL_CONDITIONED_TASTE_AVERSION_BEHAVIOR,0.141858141858142,0.947577276524645,0.112378519110475,-0.470987845260338,-1.67345752130387,9,SLC6A9|GABBR1|PAK3|SLC17A6|GRM7
